video_id,title,description,published_at,channel_id,channel_title,category_id,tags,duration,definition,caption,view_count,like_count,dislike_count,favorite_count,comment_count
VDy5q8iKU4U,"Shade Poly 2 - Yoruba Movie 2024 Drama Odun Adekola, Arinola Odubela, Vicky Kolawole, Olaide Oyedeji","In this thrilling Yoruba movie, a university student's life is turned upside down when a feared gang sets its sights on her, forcing her to choose between her values and survival. But as she discovers the rush of power and stands up to her foes, she becomes addicted to the thrill - sparking a deadly game of cat and mouse, where her enemies multiply and her morals unravel.  Find out more in this action packed yoruba movie Shade Poly. 

Please SUBSCRIBE to ApataTV+ Today by clicking on the Subscribe Button and don't forget to activate the Bell notification button to get notified of our latest yoruba movies release updates.

SUBSCRIBE : www.youtube.com/apatatvplus

https://www.youtube.com/apatatvplus

Follow us on IG.Twitter and FB: @apatatv

#yorubamovies2023 #apatatv #yorubamovies",2024-08-05T13:00:28Z,UC83tx3zGcvQ_rXzsZigTnEA,APATATV+,24,"['latest yoruba movies 2023 new release', 'yoruba movies 2023 new release', 'yoruba movies', 'new yoruba movies latest this week', 'yoruba movies 2023 new release this week', 'yorubahood', 'free movies', 'african movies', 'apatatvplus', 'ibakatv', 'yoruba 2023 latest movies', 'newly uploaded 2023 yoruba movies', 'latest yoruba movies 2023 today', 'yoruba movies 2023', 'shade poly yoruba movie', 'shade poly 2', 'shade poly 2 yoruba movie', 'shade poly 2 full movie', 'odunlade adekola', 'arinola odubela', 'laide oyedeji']",PT1H6M26S,hd,false,424361,7296,0,0,638
TXqurDW5HzI,"Nationwide Protest: 'You Will Have to Carry Us Inside the Stadium', Deji Adeyanju Replies FCT CP","Lawyer and Human Rights Activist, Deji Adeyanju trades words with the Commissioner of Police for FCT, Benneth Igweh on the order by a High Court in Abuja that restricted Protesters to the National Stadium, Adeyanju emphasized that the order did not explicitly state if protesters are to gather inside or outside the National Stadium




Subscribe to our Channel for high profile interviews. Follow us on Twitter at https://twitter.com/ARISEtv | 
and Instagram: https://www.instagram.com/arisenewsofficial | 
and Facebook: https://www.facebook.com/AriseTVNews |
 Check out our website www.arise.tv",2024-08-01T11:31:52Z,UCyEJX-kSj0kOOCS7Qlq2G7g,Arise News,25,"['Arise', 'News']",PT36M7S,hd,false,565604,5352,0,0,1641
dlhCMa3ijlU,"FULL SPEECH: President Tinubu Addresses Nigerians, Promises Better Future","President Bola Ahmed Tinubu has assured Nigerians of better future by his administration #Tinubu  #breakingnews #tinubu #bolaahmedtinubu #kashimshettima #abuja #TVCNews #TVC #News #NaijaNews #NaijaGist #Entertainment #NewsUpdate #BreakingNews #NewsInNigeria  #TrendingGists  #latestnews #todaynews #BreakingNews #TrendingVideo #YouTubeRewind #Trending #Viral #Music #EntertainmentNews #ClimateChange #BusinessNews #SportsNews #AfricaNews #NigerianYouth #NigerianSports #NigeriaEconomy #NigeriaNews

Join this channel to get access to Exclusive Trending News Content:
https://www.youtube.com/channel/UCgp4A6I8LCWrhUzn-5SbKvA/join

Don't forget to subscribe: https://bit.ly/35V0PCJ

Watch more interesting videos: https://bit.ly/3xOHq2f

Follow TVC News On: 
Twitter: https://twitter.com/tvcnewsng
Instagram: https://instagram.com/tvcnewsng
Facebook: https://www.facebook.com/tvcnewsng/

Get more news on our website: http://www.tvcnews.tv/

Download the mobile app 
Android: https://bit.ly/3wYz33U
iPhone: Go to apple store",2024-08-04T06:27:24Z,UCgp4A6I8LCWrhUzn-5SbKvA,TVC News Nigeria,25,"['tvc', 'tvc news', 'tvc news nigeria', 'top nigeria news', 'latest nigeria news', '9ja news']",PT23M,hd,false,297209,3450,0,0,2295
iyrzYXDiEfw,LOVE CAMERA ACTION - Nigerian Movies 2024 Latest Full Movies,"If you are looking for Nigerian Movies 2024 Latest Full Movies, then you need to check out LOVE CAMERA ACTION! This romantic movie moves you into the world of the best Nollywood movies 2024 latest full movies. You'll definitely love this full movie and latest entry in the Omoni Oboli movies on Omoni Oboli TV starring Chinonso Arubayi, Saga Adeolu, Omoche Oko, Raphael Atewe

#nollywoodmovies #nigerianmovies #omonioboli #omoniobolitv",2024-08-03T14:00:08Z,UCbvdwZvZgdl-pPyomEmaEfg,Omoni Oboli TV,24,"['omoni oboli tv', 'omoni oboli', 'omoni oboli movies', 'nollywood', 'nollywood movies', 'nigerian movies', 'nigeria', 'new movie', 'free movies', 'full movie', 'nigerian movies 2024 latest full movies', 'nollywood movies 2024 latest full movies', 'new movies', 'movies', 'nollywood movies 2024', 'latest nigerian movies 2024 full movie', 'romantic movies', 'romance', 'romantic', 'LOVE CAMERA ACTION']",PT1H29M8S,hd,false,566758,13015,0,0,1133
c7Uda1sTfJM,Peaceful Protest 🙏#realwarripikin #protest #Nigeria,,2024-08-01T13:00:35Z,UC9gpj8Rwyd31Rgb5-euTq6g,Real Warri Pikin,24,[],PT25S,hd,false,304573,10290,0,0,215
4ohZL8SImTA,President Tinubu Addresses Nigerians Amid Protests,"Don't forget to subscribe:  https://bit.ly/2Hb8hjx

Watch more interesting videos: https://bit.ly/34ogCaw

Follow Channels Television On: 
https://www.facebook.com/channelsforum
https://twitter.com/channelstv
https://www.instagram.com/channelstelevision

Get more news on our website: https://www.channelstv.com/


#ChannelsTv #newsupdate #news #newsinnigeria #newstoday #newsheadlines #Politicstoday #ChannelsTVNews #Nigeria #Lagos #Nigerianews #Nigeriannews  #channelstelevision #Channelstv #Channels #AfricaNews #BreakingNews #Nigerianpolitics",2024-08-04T06:41:31Z,UCEXGDNclvmg6RW0vipJYsTQ,Channels Television,25,"['Channels Television', 'Channels TV', 'Africa News', 'Top African News', 'Breaking news', 'Nigerian Top Stories', 'Channels TV News', 'Channels TV Report', 'News Update', 'latest news', 'today news', 'Nigeria news', 'Nigerian news', 'PoliticsToday', 'Top Stories', 'Top Story', 'Breaking News']",PT23M40S,hd,false,438933,0,0,0,3015
eV0itXtjHEI,功夫少女瞬闪暴杀敌人！【城寨英雄】#武俠  #功夫 #动作,"視頻來自：城寨英雄 czyx

持續爲您更新經典武俠~
走過路過不要錯過，歡迎訂閲🤞
你值得擁有，你想看的全都有~😎
#電視劇 #中國影視劇 #經典

你想看的更多都在这里：",2024-07-30T11:30:30Z,UCCO8gNXvZtf213HyU_hYq4w,武林百曉生,1,"['TVB', 'TVB Drama', 'TVB 4k', '電視劇', '華語', '經典', '香港電視劇', '武俠', '動作', '功夫', '功夫高手']",PT1M,hd,false,8869182,127550,0,0,181
1jve6QlzBaY,🤯️ Vini Jr. ✖️ Brahim 🤯,"🆕📺 RM PLAY: play.realmadrid.com

🎥  SUBSCRIBE | SUSCRÍBETE:
YOUTUBE: https://www.youtube.com/subscription_center?add_user=realmadridcf

📱 FOLLOW US | SÍGUENOS:
INSTAGRAM: https://instagram.com/realmadrid
TIKTOK: https://www.tiktok.com/@realmadrid
TWITTER: https://twitter.com/realmadrid
TWITCH: https://www.twitch.tv/realmadrid
SNAPCHAT: https://snapchat.com/add/realmadrid
FACEBOOK: https://facebook.com/realmadrid

💳 BECOME A MADRIDISTA | HAZTE MADRIDISTA:
https://bit.ly/become_a_madridista_YT",2024-08-06T00:59:48Z,UCWV3obpZVGgJ3j9FVhEjF2Q,Real Madrid,17,"['Real Madrid', 'Madrid', 'Real Madrid CF', 'Madridistas', 'Santiago Bernabéu', 'Bernabéu', 'Hala Madrid', 'Carlo Ancelotti', 'レアル・マドリード', 'ريال مدريد', '레알 마드리드']",PT13S,hd,false,2512507,159296,0,0,741
ovsQXgrSU-s,MID NIGHT PRAYER COMMANDING THE DAY. 05-08-2024,MID NIGHT PRAYER COMMANDING THE DAY. 05-08-2024,2024-08-05T23:58:16Z,UC0pFEFO86OwhVUcqAQ4ICjQ,Dunamis TV,29,"['drpaulenenche', 'drbeckyenenche', 'dunamis', 'theglorydome', 'faith', 'church', 'revivaltoday']",PT1H58M6S,hd,false,160246,7663,0,0,783
YYaTwz5urro,"Shade Poly - Yoruba Movie 2024 Drama Odun Adekola,Arinola Odubela,Vicky Kolawole,Olaide Oyedeji,Sidi","In this thrilling Yoruba movie, a university student's life is turned upside down when a feared gang sets its sights on her, forcing her to choose between her values and survival. But as she discovers the rush of power and stands up to her foes, she becomes addicted to the thrill - sparking a deadly game of cat and mouse, where her enemies multiply and her morals unravel.


Please SUBSCRIBE to ApataTV+ Today by clicking on the Subscribe Button and don't forget to activate the Bell notification button to get notified of our latest yoruba movies release updates.

SUBSCRIBE : www.youtube.com/apatatvplus

https://www.youtube.com/apatatvplus

Follow us on IG.Twitter and FB: @apatatv

#yorubamovies2023 #apatatv #yorubamovies",2024-07-22T13:30:17Z,UC83tx3zGcvQ_rXzsZigTnEA,APATATV+,24,"['latest yoruba movies 2023 new release', 'yoruba movies 2023 new release', 'yoruba movies', 'new yoruba movies latest this week', 'yoruba movies 2023 new release this week', 'yorubahood', 'free movies', 'african movies', 'apatatvplus', 'ibakatv', 'yoruba 2023 latest movies', 'newly uploaded 2023 yoruba movies', 'latest yoruba movies 2023 today', 'yoruba movies 2023']",PT1H15M38S,hd,false,1422401,12157,0,0,885
